id,English,Twi
id_1fhmgi3ahq,There is always a topic of discussion in radio talk shows.,Berɛ biara wɔwɔ asɛmti bi a wɔka ho asɛm wɔ radio so nkɔmmɔbɔ ahodoɔ mu.
id_g9hjzgqvlq,People should use their land for productive purposes.,Ɛsɛ sɛ nkorɔfoɔ de wɔn nsase di dwuma a ɛso aba.
id_28eo6ro7u5,The kingdoms in the country can also get aid from the government.,Ahennie ahodoɔ a ɛwɔ ɔman no mu no nso bɛtumi anya mmoa afiri aban no hɔ.
id_gpjcl41zhd,"Experts say that this nutrient helps to improve the mental functioning of a person, especially in the elderly.","Animdefoɔ kyerɛ sɛ, saa aduanennuro yi boa ma onipa adwene tumi yɛ adwuma yie pa ara, titire ne nnipa a wɔn mfeɛ akɔ anim."
id_w3b04ktgpw,"when there is power shortage, it affects business.","Sԑ nkanea taa dunnum a, ԑde adwuma sԑeԑ ba."
id_bi68wfubtp,It helps the body to process the food we have eaten.,Ɛboa ma aduane a yεadie no yε adwuma wᴐ nipadua no mu yie.
id_i43nn6u1hy,The organization leader visited the refugee camp earlier today.,Adwumakuo no kannifo no kɔsraa aguanfo atrae hɔ nnɛ ntɛm.
id_3gaa07iwvr,The number of doctors will be increased in government hospitals next year.,Wɔbɛma nnuruyɛfo dodow akɔ soro wɔ aban ayaresabea ahorow mu afe a edi hɔ no.
id_z6542end2j,People can do anything once they are not happy with the government.,Nkorɔfoɔ bɛtumi ayɛ biribiara berɛ a wɔn ani nnye aban no ho.
id_qsboks60bn,The project looks at boosting the experience for proper education service delivery and developing agro-processing industries in Ghana,Dwumadie no hwɛ sɛ wɔbɛma osuahunu a ɛwɔ hɔ ma nwomasua dwumadie a ɛfata no akɔ anim ne sɛ wɔbɛma kuayɛ nnwuma anya nkɔsoɔ wɔ Ghana mu.
id_cxxj4rhj0o,"In case things go wrong, we should report.","Sɛ nneɛma nkɔ yiye a, ɛsɛ sɛ yɛbɔ amanneɛ."
id_4clg4o7x2e,Ectopic pregnancy is when a fetus damages without taking any medicine to terminate the pregnancy.,Nyinsԑm mu ᴐpᴐn yԑsԑ abᴐfra a ᴐda yafunu mu no bԑsԑe wᴐ berԑ a womfaa aduro nkaa no.
id_kd1wmph48q,The public is sensitized on the use of electricity and others.,Wɔma ɔmanfo te anyinam ahoɔden ne nneɛma afoforo a wɔde di dwuma no ho.
id_c0yajngpbq,"Among all these four charges, Aisha Huang has pleaded not guilty. It is important to remember that in any legal case, the court will carefully examine the evidence presented by both the prosecution and the defense before making a verdict","Saa kwaadu ahodoɔ yi nyinaa mu no, Aisha Huang kyerɛ sɛ ɔnni ɛbiara mu fo.Mmom, ɛyɛ dɛn ara a yɛbɛhunu deɛ asɛnnie no bɛsi."
id_woi2lxssx9,Testing for Human Immune Virus is the only way of knowing if one's infected or not,Nhwehwɛmu a wɔyɛ de hu Human Immune Virus nkutoo ne ɔkwan a wɔfa so hu sɛ obi anya bi anaasɛ onni bi
id_9mh6u6a1ej,Three Ghanaian women won meddals in the African games that took place in Morocco.,Ghana mmaa mmiɛnsa gyee abɔdin wɔ Afrika agodie a ɛkɔɔ so wɔ Morroco no mu.
id_ccka66ckmh,"He means that it is their duty to do this so that the immigrants can live easily, and be able to fulfill certain social functions.","Ↄkyerɛ sɛ ɛyɛ wɔn asɛdeɛ sɛ wɔyɛ wei sɛdeɛ ɛbɛyɛ a amanfrafoɔ no asetena mu nyɛ wɔn den, na wɔatumi adi asetena mu dwuma ahodoɔ binom."
id_z5il3zyyv8,The employers provide protective gears to their workers.,Nnwuma wuranom no de ntaadeɛ a ɛbɛbɔ wɔn adwumayɛfoɔ ho ban brɛ wɔn
id_j80pqopbol,"People have opted to establish their own houses, instead of paying rent.",Nkorɔfoɔ ayi sɛ wɔbɛsi wɔn ankasa dan kyɛn sɛ wɔbɛhan bi.
id_zl4iuor0tv,I supported him throughout his sickness last month.,Meboaa no wɔ ne yare no nyinaa mu wɔ bosome a etwaam no mu.
id_ay417hfn1t,"Indeed, what he used to wash with no respect, today people look at him, see him with joy, and when he is with him, everyone's mouths are filled with laughter.","Ampa ara, deɛ na ɔhoro so a na nnipa mmu noɔ no, ɛnnɛ nnipa pu bɛhwɛ no, wɔhunu no a wɔn ani gye, na ɔka ne ho a, sereɛ hyɛ obiara mfono mu ma."
id_j7mml8iysq,It is in the nature of people to change.,Ɛwɔ nnipa su mu sɛ wɔbɛsakra.
id_evm5tdxwqg,Politicians have people that assist them throughout the campaign process.,Amammuifo wɔ nnipa a wɔboa wɔn wɔ ɔsatu no nyinaa mu.
id_4et3t6kcn8,"coronavirus has greatly affected Ghana's economy, people have lost jobs","coronavirus aka Ghana sikasɛm kɛseɛ, nnipa ahwere nnwuma"
id_mbpufsfeb1,don't forget to share it to your brother and your friends.,Mma wo werɛ mfiri sɛ wobɛkyɛ ama no aso wo nua ne wo yɔnko no so.
id_eulh9fh87t,Local leaders ensured that the refugees live comfortably.,Mpɔtam hɔ akannifoɔ hwɛ hui sɛ adwanefoɔ no bɛtena ase yiye.
id_yftcpi1rx2,Some people are infected with the Human Immune Virus.,Nnipa binom anya Human Immune Virus.
id_0oxmp8z055,Member of parliaments make laws for the country.,Mmarahyɛbadwafoɔ hyehyɛ mmara ma ɔman no.
id_x7uln0x8r3,Jamila has been on medication but has not improved yet.,Jamila anom nnuru nanso ne ho nya nntɔɔno
id_6nw1cnf6tx,"He married at the age of eighteen also working at the railway station, at the age of nineteen he had a daughter.","Ɔwareeɛ berɛ a na wanya mfeɛ du nnwɔtwe a na ɔsane yɛ adwuma wɔ keteke hyɛn gyinabea, ɔnyaa mfeɛ du nkron no ɔwoo ɔbabaa."
id_o16j7jk2uk,The juice of the honey also has anti-hypertensive properties.,Nwa ho nsuo no nso tumi ko tia mogyaborosoɔ.
id_973jyydd9r,"Why, then, do some parents discourage their children for them to feel worthless?","Ɛte sei deɛ a, ɛnneɛ adɛn na awofoɔ binom bu wɔn mma abam ma wɔhunu wɔn ho sɛ mfasoɔ biara nni wɔn so yi?"
id_id9rl0wc90,"It is a nutrient that the body needs all the time because, without water, the body cannot function properly.","Ɛyɛ aduane a nipadua no hia no berɛ biara ɛfiri sɛ, sɛ nsuo nni nipadua no mu a, ɛntumi nyɛ adwuma sɛdeɛ ɛsɛ."
id_d3z1oulzlk,How can one obtain fame in the shortest period of time?,Ɔkwan bɛn so na obi betumi anya din wɔ bere tiaa mu?
id_g71mv1576t,"We eat good healthy foods like orange family, beans family, onions, all kinds of vegetables and fruits that will help the health of the kidney.","Yɛnni nnuane pa a ahoɔden wɔ mu te sɛ ankaa abusua, adua abusua, gyeene, anwoo, atosodeɛ ahodoɔ no nyinaa ne nnuaba ahodoɔ a ɛbɛboa saa no apɔmuden."
id_7iv069kxq8,"Also, certain additives are added to our foods to sweeten them.","Afei nso, wɔde nneɛma binom fra nnuane a yɛdi no ma no yɛ te sɛ deɛ wɔde asikyire agu mu."
id_ljzzqg0zvw,"The Fire Service personnel who rushed to the scene when called for help explained that, they saw the child's slippers and toy which she was playing with with her younger siblings when they reached the scene infront of a toilet facility.","Odumgya Adwumayɛfoɔ a wɔgyee ɔmanfoɔ frɛ no so berɛ a wɔbɔɔ wɔn amaneɛ sɛ asɛm yi asi no kyerɛ mu a, wɔkɔduruu hɔ no, wɔhunuu sɛ na abɔfra no mpaboa ne abaduaba a na ɔne ne naunom nketewa de redi agorɔ no gu agyananbea bi ano."
id_53rfhz1xd4,His family warmly welcomed him back from abroad.,N’abusua de anigye gyee no fii amannɔne san bae.
id_gcem69en7v,He noted that the Energy Ministry had already begun talks with some major sources and sovereigns in the supply of petroleum products.,"Ↄkyerɛɛ sɛ, Asoɛeɛ a ɛhyɛ Ahoɔdensɛm so no ahyɛ aseɛ ne nnipa akukudam ne nnwumakuo akɛseɛ binom rekasa afa akwan a yɛn nsa bɛfa so aka fangoo no bi ho."
id_mfy26khbtx,The most outrageous decision is becoming a politician,sɛ wobɛyɛ w'adwene sɛ wobɛyɛ amannyɔni yɛ adeɛ a ɛbɛyɛ aniwuosɛm
id_z35ptepr09,"The King of kings blessed the Asanteman with the Kwame Frimpon Morning October, making Asanteman very borderless.","Tweaduampɔn Kwame Basayiadɔm de Kwame Frimpɔn Anɔkye Kɔtɔbere hyiraa Asanteman no, ɛmaa Asanteman mu yɛɛ hye yie."
id_ws7s0leyr2,The cancer institute has done a very wonderful job.,Kokoram asoɛe no ayɛ adwuma a ɛyɛ nwonwa yiye.
id_c7xt21dhc6,The Member of Parliament for Dome-Kwabenya Sarah Adwoa Safo has returned to parliament,Nnipa a ɔgyina mu ma Dome-Kwabenya wɔ Mmarahyɛbadwam a ne din ne Sarah Adwoa Safo asane aba mmarahyɛbadwam.
id_gllgre0mmi,Various symptoms that shows in a non healthy liver.,Nsɛnkyerɛnneɛ ahodoɔ a ɛda adi wɔ brɛboɔ mu yadeɛ ho.
id_g73schui7c,"Although this disease is rare in many people, it is very dangerous for those who have this disease.","Korɔnobɔ yadeɛ yi ntaa nni nnipa pii so deɛ, nanso ɛyɛ hu pa ara ma wɔn a wɔwɔ yadeɛ yi."
id_6ws61m66hg,This place is called Anloga or Anloga Junction in Kumasi,Saa beaeɛ yi na wɔfrɛ no Anloga anaa Anloga Junction wɔ Kumasi no.
id_d9fs6djp8h,Guidelines on social distancing are no longer being followed.,Wɔrentie nnipa ntam kwan a wɔhyɛ no wɔn de so bio.
id_qfjmu9osgn,"it can happen that there is no effective communication in bed, or it goes on excessively.","Ɛtumi ba sɛ nna mu nkitahodie ntaa nkɔ so koraa, anaasɛ ɛkɔ so ma no boro so pii."
id_zi69ve5c8s,The orientation exercise is meant to prepare students for success throughout the term.,Akwankyerɛ dwumadie no tirimpɔ ne sɛ ɛbɛsiesie asukuufoɔ no ama nkonimdie wɔ 'tɛɛmo' (term) no nyinaa mu.
id_gke5qys8gy,On what date shall the general elections take place?,Da bɛn na wɔnbɛyɛ amansan abatow no?
id_ekt3lk5znx,There will be a meeting at the community town hall with the hospital administrators.,Nhyiamu bi bɛkɔ so wɔ kuro asa no so a wɔne ayaresabea no mu mpanimfoɔ na ɛbɛyɛ.
id_rvqoint5lw,I wonder why some midwives are rude to mothers during labor!,Misusuw nea enti a awogyefo binom yɛ ɛnanom animtiaabu bere a wɔrewo no!
id_sggdyl6jfq,The agricultural project will encourage food processing industries thus the availability of employment opportunities.,Kuadwuma adwuma no bɛhyɛ nnwuma a wɔyɛ aduan ho adwuma no nkuran ma enti adwumayɛ hokwan ahorow a ɛwɔ hɔ.
id_bx93by44n2,"I was stopped from grazing my cattle, limiting my activities and livelihood.","Wosiw me kwan sɛ merehwɛ m’anantwinini, na ɛtoo me dwumadi ne m’asetrade ano hye."
id_99qf1p6vg0,Mothers say they have preferences when it comes to health facilities.,Ɛnanom ka sɛ wɔwɔ nneɛma a wɔpɛ ɛdefa akwahosan ho adwumayɛbea ahorow ho no.
id_ni7e9fjj3i,"Just as stretching the muscles is healthy for the heart, so laughter is healthy for the heart.","Sɛdeɛ yɛadi kan aka sɛ obi tenetene n'apɔm a ɛma akoma no apɔmuden no, saa ara nso na sereɛ no ma akoma no apɔmuden."
id_2q1czxsw23,"For instance, when they lose lover, a father or a mother.","Sɛ ebia berɛ a ne dɔfo bi, ne papa anaa ne maame bi firii mu."
id_qdql75g93n,People normally celebrate when the year is ending.,Nkorɔfoɔ taa gye wɔn ani berɛ a afe no rekɔ awieeɛ.
id_u3na6swjbt,The students shall have a physics practical lesson tomorrow morning.,Asukuufoɔ no bɛyɛ 'fisiks' (physics) adesua dwumadie ɔkyena anɔpa.
id_7b4r4eucmu,This person can also get skin rashes.,Honam ani nsaa nso tumi ha saa nnipa yi
id_coaz9pb1nd,"First, he took office as leader of the Union of African students studying in the United States and Canada.","Deɛ ɛdi kan no, ɔbɛdii adeɛ sɛ asuafoɔ a wɔfiri Abibirem a wɔresua adeɛ wɔ Amerika ne Kanada Nkabom kuo no kannifoɔ."
id_zyqj8zeohf,The school received guiderines of the primary leaving examinations.,Sukuu no nyaa akwankyerɛ ahorow a ɛfa mfitiase sukuu a wogyae sɔhwɛ ahorow ho.
id_32sxdgb3v9,Adu Donnyina served Bono king till he become weak..,Adu Donnyina somm Bonohene ara kɔsii sɛ ɔgoeɛ.
id_4s9lhcae7o,"This will also deter others who would have made the same mistake, because they see that there is a penalty for that crime.","Wei bεma afoforɔ nso a anka wɔbεyε saa mfomsoɔ no ara no twe wɔn ho firi ho, εsiane sε wɔhunu sε asotwe bi da saa bɔnesεm no ho."
id_hxip9cs4ui,"In Nigeria, gunmen kidnapped students from school in order to get a ransom from government.","Wɔ Nigeria no, atuotofo kyeree sukuufo fi sukuu sɛnea ɛbɛyɛ a wobenya agyede afi aban hɔ."
id_63fqecr4mu,Today even some hunters put chemicals into fruits for the animals to eat before getting meat to sell to us.,Ɛnnε abᴐfoᴐ binom mpo de nnuro gu nnuaba so ma mmoa di ansa na wᴐanya nam abεtᴐn ama yεn.
id_hv7a5izjll,His contribution to intellectual development is remarkable having served on numerous boards and committees. During the almost 30 years of teaching and researching Prof. Mills served as a visiting lecturer and professor at a number of educational institutions worldwide and presented research papers at symposiums and conferences throughout the world.,"Ne mmoa a ɔde ama wɔ adwene mu nkɔso mu no yɛ nwonwa efisɛ wasom wɔ bagua ne boayikuw ahorow pii mu. Wɔ bɛyɛ mfeɛ aduasa a ɔde kyerɛkyerɛɛ na ɔyɛɛ nhwehwɛmu no mu no, Ɔbenfoɔ Mills yɛɛ ɔkyerɛkyerɛfoɔ ne ɔbenfoɔ a ɔsrasra wɔ nwomasua asoɛeɛ dodoɔ bi mu wɔ wiase nyinaa na ɔde nhwehwɛmu nkrataa mae wɔ nhyiamu akɛseɛ ne nhyiamu ahodoɔ ase wɔ wiase nyinaa."
id_14y47nwrhn,"Some bully others because they want to be punished for a crime or mistake they have committed, some do it just to get the victims into trouble, some do it to show their self-worth, some do it so because they cannot control their desires.","Ebinom to afoforɔ monaa εnam sε wɔpε sε wɔtwe wɔn aso wɔ bɔne anaa mfomsoɔ bi a wɔayε wɔn ho, ebinom yε saa sεdeε wɔn a wɔato wɔn monaa no bεkɔ yea mu kεkε, ebinom yε de kyerε sε wɔn ho gyina wɔn ho, ebinom nso yε saa εfiri sε wɔntumi nhyε wɔn akɔnnɔ so."
id_ztuc1lpft7,The infected people tested positive for the coronavirus disease .,"Wɔyɛɛ nhwehwɛmu no, ɛbɛdaa adi sɛ nnipa a wɔn ho aka no wɔ korona yareɛ no bi."
id_ld0gkks2ey,6.Anamuna is one of the most popular fruits.,6.Anamuna yɛ aduaba baako a wɔtɔn no dwa so pa ara.
id_u4hdqs5tcm,Allegations were denied the production officer saying new farmers are annually picked.,Wɔpoo sobo ahorow a production officer no kae sɛ afe biara wɔtetew akuafo foforo.
id_0m4mtzp1q4,"When it comes to mental illness, most of us see it as just those who seem to be naked walking the streets.","Sε yεbᴐ adwene mu haw so a, yεn mu dodoᴐ no ara hunu no sε εyε wᴐn a sεbe wᴐabᴐ adagya nenam mmᴐnten soᴐ no nko ara."
id_brus5j5e15,Also also note that the ovaries in the breast are not always cancerous instead.,"Hyɛ no nso nso sɛ, ɛnyɛ berɛ biara na badwoa a ɛwɔ nufoɔ mu no de kokoram mmom."
id_ml6a0dhj99,He was arrested for beating up his wife nearly to death.,Wɔkyeree no sɛ ɔhwee ne yere a ɛkaa kakraa bi ma owui.
id_8231xjeew6,"In the Akan community, in Ghana, and even in some different countries, it is becoming like all of them have some certain perception which more like a fiction supporting their origin.","Akanman mu ha, Ghanaman mu, ne mpo aman afoforɔ so no, ɛrekame ayɛ sɛ wɔn mu biara wɔ adwene bi a ɛreyɛ akɔyɛ bɔsrɛmka taa wɔn abɔseɛ akyi."
id_nu0bybi05m,She has been working in Ghana for five years.,Ɔde mfeɛ nnum ayɛ adwuma wɔ Ghana.
id_h4ay1o8q47,"Refugees obtained physical, moral and financial support from the government","aguanfo nyaa honam fam, abrabɔ pa ne sikasɛm mu mmoa fii aban hɔ"
id_zbsa121qpp,"As a responsible citizen, you must obey the laws.","Sɛ́ ɔman ba a ɔwɔ asɛyɛde no, ɛsɛ sɛ wudi mmara no so."
id_1jeozqh4gg,The budget was approved after the councillors protest.,Wɔpenee sikasɛm nhyehyɛe no so bere a agyinatufo no yɛɛ ɔsɔretia akyi.
id_d86at1ftu7,"On what date, is father's day celebrated in Ghana?","Da bɛn, wɔhyɛ agya da no ho fa wɔ Ghana?"
id_ulh0296psp,"We know that bad language can have a negative effect on us and others, so what should we do?","Yɛnim sɛ kasa bɔne bɛtumi anya nsunsuansoɔ bɔne wɔ yɛne afoforɔ so a, ɛnneɛ na deɛn na ɛsɛ sɛ yɛyɛ?"
id_72mt4zbglp,In the Upper East region; this is the second region that the research shown that the people in the region lives in are extremely poor,"Atifi Apueeɛ Mantam mu; Saa mantam yi ne mantam a nhwehwɛmu no daa no adi sɛ, wɔtɔ so mmienu a ɛmu nnipa di ohia buruburoo wɔ Ghana."
id_azomijxukl,The Dutch ruled the country for 274 years.,Dutch foᴐ dii ᴐman no so mfeε 274.
id_1snp3xz75o,Then only 9% of those from rural areas with poor parents manage to complete high school.,Ɛnna wɔn a wɔfiri nkuraase a wɔn awofoɔ di hia no mu 9% pɛ na wɔtumi kɔ ntoasoɔ sukuu wie.
id_1f7ss6d187,The accused needs to be compensated in case he wins this court case.,Ɛsɛ sɛ wotua nea wɔabɔ no sobo no ka sɛ ebia odi nkonim wɔ asɛnnibea asɛm yi mu a.
id_af53x72db6,"Lucy Ekeleva Blay, a self-employed lawyer, declared in court that she was representing Freddie Blay on behalf of four persons namely; The trial of Gao Jin Cheng, Lu Qi Jun, Haibin Go and Zhang Zhipeng alongside Aisha Huang.","Lucy Ekeleva Blay a ↄyɛ lↄya ni a ↄno ankasa ate ne ho no de too dwa wↄ asɛnnibea sɛ, ↄregyina asɛm no mu kakra ama Freddie Blay wↄ nnipa nnan a wↄn din ne; Gao Jin Cheng, Lu Qi Jun, Haibin Go ne Zhang Zhipeng a wↄne Aisha Huang di dwuma no asɛnnie no mu."
id_9bclhr3wfe,The survivors were taken to the hospital for medical attention and care.,Wɔde wɔn a wɔnyaa nkwa no kɔɔ ayaresabea ma wɔmaa wɔn ani kɔɔ wɔn so hwɛɛ wɔn.
id_p84whecfv8,Always practice what you learn so as not to forget.,Fa deɛ wosua no dabiara no di dwuma sɛdeɛ wo werɛ mfiri.
id_37hfnq0hxl,Outstanding teachers should be rewarded for good work.,Ɛsɛ sɛ yɛbɔ atikyafoɔ a wɔbɔ wɔn ho mmɔden abaso wɔ wɔn nnwuma pa ho.
id_ydwri4i2mg,The president of Ghana will attend the Day celebrations that will take place at Independence Square,Ghana ɔmanpanyin bɛkɔ Da afahyɛ a ɛbɛkɔ so wɔ Independence Square no ase
id_n4pylqh4yk,The project has the backing of the government of Ghana and it is expected to last for five years.,Adwuma yi wɔ Ghana aban no akyigyina na wɔhwɛ kwan sɛ ɛbɛkɔ so mfeɛ nnum.
id_xv8u3xngbf,"Don’t just keep this knowledge in your head, share it with others, and talk about it.","Mma nimdeɛ wei nka wo nko ara wo tirim, kyɛ ma afoforɔ nso bi, na ka ho asɛm."
id_rbdlu8qbqt,It's the government's responsibility to monitor all on-going development s in the country.,Ɛyɛ aban no asɛdeɛ sɛ ɛbɛhwɛ nkɔsoɔ a ɛrekɔ so wɔ ɔman no mu nyinaa.
id_q4ak1vob30,all these are good characters that can make one be a successful person in life.,Yeinom nyinaa yɛ suban pa a sɛ woma ɛdi w'anim a wobɛtumi adi yie wɔ abrabɔ mu.
id_rd9gk9j593,"The same study says that in 2019, 970 million people in the world suffered from the most common mental disorders, namely, panic or fear disorder and suffering and grief disorders.","Nhwehwεmu korᴐ yi ara ka sε, afe 2019 mu no, na wiase yi mu nnipa ᴐpepe 970 na na wᴐwᴐ adwene mu haw a agye din pa ara a εnonom ne, ehu anaa suro adwene mu haw ne ateetee ne awerεhoᴐ adwene mu haw."
id_wbj5jet0pr,"These tourist attractions can be those that reveal a history, those that talk about religion and beliefs, those that showcase certain natures and so on. New text No data available Progress","Nsrahwɛbea yi tumi yɛ deɛ ɛda abakɔsɛm bi adi, deɛ ɛkasa fa ɔsom ne gyidie ho, deɛ ɛda abɔdeɛ binom adi ne deɛ ɛkeka ho."
id_eirxqlqihi,Milk selling is a very profitable business in urban areas.,Nufusu tɔn yɛ adwuma a mfaso wɔ so kɛse wɔ nkurow akɛse mu.
id_4xpo7xzb7q,Priests were deployed in various areas to do God's work.,wɔde asɔfo kɔɔ mmeae ahorow sɛ wɔnkɔyɛ Onyankopɔn adwuma.
id_xy9fr58gmd,"I'm sure you'd be a little upset, since that disease doesn't allow you to have sex with him.","Megye di sɛ anka ɛbɛha wo kakra, ɛsiane sɛ saa yadeɛ no mma wo kwan sɛ wo ne no bɛhyiam wɔ nna fa mu."
id_b5efxi0i47,The district medical staff lacks the equipment to test the virus.,Asoeɛ a ɛhwɛ nnuruyɛ ho nsɛm so wɔ mansini no mu no nni akadeɛ ahodoɔ a wɔbɛtumi de ayɛ nhwehwɛmu ahunu sɛ obi wɔ yareɛ no bi anaasɛ ɔnni bi
id_b1ax8waov1,The Minister’s statement comes a day after President Akufo-Addo announced that government is working to secure reliable and regular sources of affordable petroleum products for the Ghanaian market.,Ↄsoafoɔ yi nsɛm yi baa ɛda a ɛdi Ↄmampanin Akufo-Addo nkaebɔ a ɔde bɛtoo dwa sɛ aban no reyɛ sɛdeɛ ɛbɛyɛ a yɛbɛtumi anya fangoo a yɛbɛtumi de yɛn ho ato so na ɛbɛba berɛ biara na ne boɔ nso wɔ fam aba Ghana dwaman so no akyi.
id_7yf031pjtx,Let's think about the future and take action today.,Momma yεnnwene daakye ho na yεnsi gyinaeε εnnε.
id_vrtbhseldi,The weed spread because of ignorance by children and adults.,Mmofra ne mpanyimfo a wonnim hwee nti na nwura no trɛwee.
id_ba5owadsjn,"In case of any wrong doing, go and make a statement at the police station.","Sɛ woyɛ bɔne bi a, kɔ na kɔka asɛm bi wɔ polisifo adwumayɛbea hɔ."
id_07cc3s8eox,benefits farmers have gained from traditional farming,mfasoɔ a akuafoɔ anya afiri abɛɛfo kuayɔ mu
id_h050xr5nci,He said that we should believe in life after death.,Ɔkae sɛ ɛsɛ sɛ yegye owu akyi asetra di
id_9xw7a9kl6q,"when it comes to cooking ingredients and cooking ingredients for aroma and flavor, pepper plays a very important role.","Yɛka atommudeɛ ne atosodeɛ ahodoɔ a yɛde noa nnuane ma nnuane tu hwa na ɛyɛ dɛ a, mako di mu akotene pa ara."
id_1gm6kape4p,They says these mothers one is at cementary and one is the one she gave birth to him one this earth that we all know.,"Wɔkyerɛ sɛ, saa maamenom yi mu baako wɔ asamando ɛnna baako nso ne deɛ ɔwɔ ateasefoɔ asase yi so a yɛn nyinaa yɛnim no no."
id_3f4dkh7tki,"Trade between Akan kingdoms and the Mossi kingdoms to the north flowed through their homeland, subjecting them to Islamic influence, and to the depredations of those more powerful.","Adwadie a ɛkɔɔ so wɔ Akanfoɔ Ahennie ahodoɔ ne Mossi Ahennie ahodoɔ ntam wɔ atifi fam no kɔɔ wɔn nsase so, na ɛmaa nkramofoɔ nneyɛɛ nyaa wɔn so nkɛtɛnsoɔ, ne nnipa a wɔwɔ tumi pa ara no nhyɛsoɔ."
id_58zmaytxpk,The chairman is looking out for ways to help these people.,Oguamtrani no rehwehwɛ akwan a ɔbɛfa so aboa saa nkurɔfo yi.
id_8dz6cilk7p,All my cattle was shot dead during the war.,Wɔtow tuo kunkum m’anantwi nyinaa wɔ ɔko no mu.
id_y0ns4tq3oi,Let us applaud his contribution to the country,Momma yɛmmɔ yɛn nsam mma mmɔden a wabɔ ama ɔman no
id_nz660bej91,My neighbour damaged my car in my compound.,Me fipamfo sɛee me kar wɔ mefie no ho.
id_324z0oklyd,"1,009 restaurants rejected him without accepting his chicken.","Adidibea ahodoɔ 1,009 na poo no a wɔannye n’akokɔnam no anto mu."
id_2olayqoije,Local governments should engage people so that they participate in business activities.,Ɛsɛ sɛ mpɔtam hɔ aban ahodoɔ ne nkurɔfoɔ kasa sɛnea ɛbɛyɛ a wɔde wɔn ho bɛhyɛ adwadie dwumadie ahodoɔ mu.
id_wmw3ou1w23,Transferring a person to a different office has to happen at the right time.,Woreyi onipa bi akɔ ɔfese foforɔ yɛ adeɛ ɛsɛ ɛsi wɔ berɛ pa mu.
