id,Twi
id_64e2bzkzot,"Studio ahorow no mu dodow no ara too mu, nanso otumi kɔɔ so yɛɛ adwuma."
id_xz9lrqig1r,"Nnwinnade ahodoɔ mu mfidie hia anyinam ahoɔden pii na ama wɔatumi ayɛ adwuma, na Ghana da so ara renya ɔhaw a ɛne anyinam ahoɔden a wɔrentumi mfa wɔn ho nto so."
id_gio8v1zu54,"Nanso, obi a ɔwɔ ayamtim no mfa nneɛma akɛse mfi fie gye mprenu dapɛn biara."
id_l3mt3aide7,Egye nteɛso ne boasetɔ kɛse na obi atumi adi golf.
id_escoay6gwk,"Mmerε rekɔ so no, adɔkotafo anya nimdeɛ pii afa yareε no ho wɔ deε εde ba, ne nsɛnkyerɛnne ne sεdeε εbεyε a wobεtumi asi ano."
id_m47cb28437,Twifo Prasofoɔ de satelite no dii dwuma de ne wiase no mmeaeɛ afoforɔ dii nkitaho.
id_1erg7db0io,"Ɛno deɛ, woretwentwɛn Ghana nkɔsoɔ kwan.Wonnɔ ɔman yi anaa?"
id_05jj0y0jfh,"Fantesfoɔ no too saa nnipa yinom edin "" Etsirfuifo"" ɛfiri sɛ, sɛ wɔhunu wɔn a, na wɔn ti nhwi ayɛ adwuma."
id_6z2pucpm0a,Wɔhyehyɛɛ sika a wɔde bɛyɛ abura no yiye na wɔkyekyɛɛ mu.
id_fao7klyrkd,"Ɛnnɛ, ɛnnɛ awo ntoatoaso no nni abrabɔ gyinapɛn a emu yɛ den a ɛboa wɔn asetra, na ɛma suban bɔne abu so wɔ ɔmanfo mu."
id_rglmg6x4qb,Katolekfo wɔ wɔn ankasa beriefs sɛ ɔsom.
id_4k2ya4i4pm,Ná ɛnyɛ den sɛ wobehu sɛ wɔtaa yare anaasɛ wonya akwahosan mu haw akɛse efisɛ wɔn aduan no yɛɛ sɛ aduru a ɛsaa wɔn yare na ɛma wonyaa apɔmuden pa.
id_sf61y1cguv,Adwumayɛni panyin no paw boayikuw bi sɛ wonni dwumadi ahorow no ho dwuma.
id_bww032oeh1,"Wɔka sɛ, wei tumi ma nnipa binom nso ano tumi yɛ wɔn yadeɛ."
id_w17mqzpd6o,"Ɛwom sɛ karɔto so wɔ mfasoɔ ma obiara deɛ, nanso ahoɔdennuro binom ahyɛ mu ma a ɛboa mmaa wɔ akwan soronko bi so."
id_hndsrd7ht3,Wɔtew amansin foforo sɛnea ɛbɛyɛ a aban no betumi de nadwuma abɛn nkurɔfo no kɛse.
id_k9zeajcb0n,"de too dwa sɛ, ɛwom sɛ yɛn nyinaa ka ECOWAS kuo no ho na ɛno nti yɛwɔ hokwan sɛ yɛkɔ baabiara a yɛpɛ kɔhwehwɛ ahodeɛ a ɛwɔ saa aman no mu deɛ, nanso mmara no ne sɛ ɛsɛ sɛ wonya wo nkrataa na woatena kwan pa so."""
id_a3kjz3zqp9,"Yei mu no, Owura Francis-Xavier Sosu, onipa fahodie ho mmaranimfoɔ ne Ghana mmarahyɛbadwafoɔ no de too dwa afe a ɛtwaam no sɛ, Yɛhia mmara bi a ɛma yɛhunu pefee sɛ, sɛ wɔto abɔfra anaa ɔbaa biara mmonnaa wɔ saa kwan yi so a ɔbɛtumi akɔ ayaresabea akɔhwɛ ne ho yie asan akɔhwɛ no bio a ne ho nhia hwee."
id_99d2h6uuzq,Lockdown no ama nnwuma afi hɔ.
id_f1ry1zyu9d,"Apam no mu no, adwumakuw no hyɛɛ bɔ sɛ wobue nnwuma wɔ mmeae a wotu nneɛma no mu na wɔayi sika ama nkɔso nnwuma a wɔbɛyɛ wɔ mpɔtam hɔ no"
id_47zxbdc56c,Nsrahwɛ so mfaso ma ɔman no ne ne manfoɔ.
id_8g4kj52gy0,Ɛsɛ sɛ wotu obi fi asafo no mu bere a wɔaboaboa adanse a edi mũ a ɛdɔɔso ano akyi.
id_om41txj2e5,Aberante bi de kaa ho sɛ wɔyɛ abatow ne nhyiam ahorow a nnipa mu nyiyim biara nni mu.
id_0k1uty5gp9,Sukuu lɔre no bɔɔ obi a ɔnam fam no.
id_xvr3ojd087,"Yɛhyɛ mmaa fo sɛ wɔnhyɛ wɔn ho na wɔnkata wɔn ho ne abodin no so, nanso obi ahosiesie a enye mma kwan sɛ wobɛtumi ato no mona."
id_ram6uq3zjz,4.Apↄl: Apↄl yɛ aduaba baako a abu so pa ara wɔ Ghana.
id_ch3wsl8b8v,"Nhwehwɛmu kyerɛ sɛ, na wɔn Hene (Nana) a na ɔdi wɔn anim kɔ abodan no mu berɛ no din de Nana Asaman."
id_cjb1cx4ay6,Ne dwuma ne sɛ ɔbɛhwɛ aban nnwuma a ɛwɔ mpɔtam hɔ no ho nhyehyɛe.
id_o5l5yxqep4,Ɔka sɛ obetumi de nkongua abiɛsa ama da biara.
id_b4aubukvqd,Saa nsuo yi kum mmoawa nketewa a wɔwɔ dwonsɔ no mu a wɔkataa no wɔ ntontom no mu berɛ a dwonsɔ no nam no mu no.
id_2l52k87nm3,Wɔhyɛɛ ahoɔfɛ akansi no diyifo nnɛra.
id_qbow1lx5ue,Ɛyɛ aduru a ɛyɛ nwonwa ampa.
id_e772peqe01,Mesomaa no nkrasɛm nanso mannya mmuae biara.
id_k8p6czhzmi,"Asase a Akanfoɔ nyinaa dii kan kɔtenaa so ne Takyiman a na ɛwɔ Bonofoɔ mpɔtam hɔ, Boahene (2001). Yei nti nnipa dodoɔ no ara frɛ Bonofoɔ sɛ Akanfoɔ mu abakan."
id_qr65f56uwg,Wobetumi de abɛɛfo mfiri adi dwuma de ahyɛ nkurɔfo a wɔwɔ nkuraase no ahoɔden.
id_25yxv1ypk9,Ɛsɛ sɛ mpanyimfo no de mmara ahorow di dwuma na wɔhwɛ hu sɛ wobenya nhomasua ho nhyehyɛe ahorow.
id_ezbuhllmxy,Mprako a wɔwɔ ɔmantam no mu dodow no ara wuwui esiane Afrika mprako atiridii nti.
id_z81gbg2ikz,Akwahosan mpanyimfo rehwɛ coronavirus tebea a ɛwɔ Ghana ahye so no
id_gz0epvy13k,"Sɛ ɛbɛyɛ yie mpo a, ɛsɛ sɛ wotaa nnuane a wotɔ wɔ mmɔnten so no so ɛfiri sɛ, nnipa dodoɔ no ara bɛtɔn nnuane ama nkurɔfoɔ a wɔde nsuo korɔ a na wɔde yɛ hye firi soro no ara na ɛdi dwuma."
id_fzzwcx5f3v,Posi boro so nso tumi de ba.
id_ish10ght53,Ɔmantam no wɔ animdefo ne adwumayɛfoɔ a wobetumi adi mpɔtam hɔ aban nnwuma ho dwuma.
id_ghgl0vur2v,"Nnuane biara a yɛdi no kɔ ntini a ɛfefɛdeɛ no mu wɔ yafunu no mu na ɛfefɛdeɛ no wie a, ɛsakra kɔ tebea foforɔ mu ma ɛyɛ dɛ te sɛ asikyire ansa na atumi akɔ mogya no mu."
id_iswb9q1y89,Ɛsane bɔ nipadua no ho ban firi nyarewa binom a yadeɛ ba bi ho.
id_ngkzfysa01,"Sɛ obi ani nnye biribi ho a, obetumi de n'ano ato polisifo anim."
id_34j7cocjj2,"Sukuu ka a wode tua no dodow ne dɛn, bisa sika dodow a ɛda hɔ a ɛsɛ sɛ wode tua sukuu ka no ho asɛm."
id_k6jmf2w2sy,"Nanso, sɛ wɔtoa so ara a, wɔn a wɔwie JHS no so te wɔ ɔha mu nkyekyɛmu 47 mu."
id_6c32qrxyez,"Wunim sɛ wo mogya so atew na wonhwehwɛ sɛ wobɛyɛ nea wobɛtumi de asi wo ano biara wɔ ho a, ɛbɛtumi anya wo so nkɛntɛnsoɔ bɔne?"
id_4ojzth3nii,Wɔn a wɔrepɛ abɛyɛ akannifo no traa ase bere a wɔrebɔ mpae no.
id_vd8e83jj91,Hwehwɛ nɔma a wubetumi afrɛ no wɔ mmere a emu yɛ den mu
id_pd9krqu2w2,Wɔhweree Anthony aban no wɔ Axim wɔ 1642.
id_fqzp0bu9jz,"Nneɛma a wobɛtumi ayɛ de ada ntɛm na woatumi ada yie binom ne akenkan, ne deɛ ɛkeka ho."
id_xx5os13d9v,Ɔhyɛɛ mpɔtam hɔfo fo sɛ wɔmmoa wɔ sukuu ahorow a wɔbɛhwɛ so no mu.
id_6y20e5ovee,wɔrebɔ mmɔden sɛ wɔbɛhwɛ ahu sɛ aduan ho bɛba yiye.
id_f0snda8ppm,"Yei maa ɔne Lincoln ntam tetewee, nanso berɛ a ɔgyee din wɔ Gold Coast no, ɔsane bae 1951 mu gyee abodin soronko bi too mu."
id_k7h5x99mij,Soya bean di bere tenten ansa na enyin?
id_m2h0e2xkqu,"Menim sɛ ne wuo bɛka ɔmanfoɔ, aman ne nnipa a atwa yɛn ho ahyia wɔ wiase nyinaa akoma."
id_kqc38sax4y,Hepatitis betumi agyina denam nnuru a wɔde bɔ nkurɔfo ho ban so nti ɛsɛ sɛ nkurɔfo kɔ Hepatitis nnuru a wɔde bɔ wɔn ho ban
id_yx90ymc2sq,"Ne sɛ, wɔatumi adi nkonim agye wɔn dibea no."
id_7yexwsw9ge,Wɔagye German bɔɔlbɔ sohwɛfo Thomas Tuchel gyinabea afi ne nsam na wɔayi no afi Chelsea bɔɔlbɔ kuw no mu wɔ ɔkwan a ɛyɛ yaw so.
id_txi7hmbfx2,"Stalking ka suban biara a ɛnni atirimpɔw pa biara ho dwuma na natirimpɔw ne sɛ ɛbɛhaw, ɛbɛhaw, anaasɛ ɛbɛbɔ nea wɔakum no no hu."
id_8vv6rgkij3,"Bio, wɔsane kyerɛ sɛ, wɔn a wɔntaa nnidi nanso wɔtaa di no nso tumi nya ahobammɔ bi firi kakra a wɔdi no ho."
id_radod0chz6,"Berɛ biara a wobɛhunu nsɛnkyerɛnneɛ ahodoɔ a yɛabobɔ so no bi no, kɔ so ara tie."
id_hwvqsmard4,"Ebinom ani nnye nkɔmmɔ tenten ho, enti wɔn ani nnye nkyerɛkyerɛ ho."
id_j3q6i1j230,"Nhwehwɛmu nso kyerɛ sɛ, Asantefoɔ no dii Bonosfoɔ no so nkonim akyi no, wɔhyɛɛ wɔn a wɔtotoo Adinkra nsɛnkyerɛnne no hyɛɛ wɔn mpanimfoɔ no sɛ wɔnkyerɛkyerɛ wɔn adwadie."
id_vmksuudl0v,Wɔhwɛ kwan sɛ mmofra a wɔadi mfe abiɛsa kosi anum bɛkɔ ntoaso sukuu.
id_lchs3on6eh,Na odwontofo no agye din kɛse wɔ ne mpɔtam hɔ.
id_4yuw8uf9cu,Osuani no nwiinwii sɛ akyerɛkyerɛfo no bi mpɛ no.
id_nc3hrocz13,"Wɔ Ghana no, asotwe wɔ hɔ sɛ obi ka kar a onni tumi krataa a ɛkyerɛ sɛ obetumi aka kar."
id_scycef4gdc,"Wɔhwehwɛ sɛ wɔn a wɔdɔm no susuw sɛnea wɔbɛsesa nhwehwɛmu a wobenya ne nyansahyɛ ahorow a wobetumi de adi dwuma daakye ho, eyi bɛyɛ wɔ adesua nhyiam bi a wɔahyehyɛ sɛ wɔbɛyɛ wɔ Konongo a asɛmti ne Research to Industry for Sustainable Economic Development."
id_ysumrwatg7,Ɛsɛ sɛ kuw a emufo yɛ nnipa baanu hwɛ akuraa no so anɔpa biara.
id_ypvck6xvrt,Nnipa pii nnya nsu pa.
id_n9xcqjbj36,Ɛsɛ sɛ tumi a ɛkorɔn no tie yɛn haw.
id_l698ex6eob,Wɔaboa mansini no wɔ akwan ahodoɔ nyinaa so sɛdeɛ ɛbɛyɛ a wɔbɛtumi anya nkɔso wɔ nkuraase.
id_xsza64yy9h,Akannifoɔ no kyerɛɛ mu sɛ wɔn a wɔbɛyɛ adwuma yie no nko ara na wɔbɛma wɔn akatua.
id_qrluqzixsb,"Nokwarem no, Ɔhemmaa maame ne Ɔhene no mogya abusuabɔ ma onya nhumu soronko wɔ ahemfie no mu ne su ahorow a wɔhwehwɛ ma ɔhene a ɔfata a obedi nade no ho. Saa amammerɛ gyidi yi si dwuma a odi wɔ Ɔhene a obedi hɔ no paw mu so dua, efisɛ ɔne ahemfi abusua no ntam a ɔbɛn no ma otumi sisi gyinae a onim nyansa. Atorɔ no wu ho amanneɛbɔ a wɔde toto asubɔnten no ho no si ɛho hia a ɛho hia sɛ wobu amammerɛ nyansa ne tumidi ho no so dua a obi nni ho asɛm biara."
id_81yclquhbm,"Ná nsɛmma nhoma no nim sɛ wɔde demo ahorow a wɔde ma kwa a wɔde kaa nhoma biara mu no ho. Ná demo ahorow no yɛ video game foforo a ɛreba anaa nea ɛbɛyɛ anigye sɛ nea ɔrebɔ no bɛtɔ no. Wotintimii nsɛmma nhoma no bɛyɛ mfe du. Nhoma a edi kan ne September 1997 no, na woyii nea etwa to no January 2007."
id_leei9h8s1c,"Esiane sɛ woyɛ adwumfo nti, ɛsɛ sɛ wowɔ hɔ wɔ beae hɔ ma woyɛ adwuma."
id_eew4qzwr6e,"Ɛsiane sɛ awofoɔ binom hyɛ wɔn ba ma ɔyɛ ɔkyerɛkyerɛfoɔ nti, saa nnipa yi nni tema mma mmɔfra a wɔrekyerɛkyerɛ wɔn no."
id_7xeku7stru,Ɛyɛ aban no adwuma sɛ ɛbɛma mmabun a wonni adwuma anya adwuma ayɛ
id_ut9tenxrht,Asoɛeɛ a ɛhwɛ nwomasua so no bɛma akwankyerɛ ahodoɔ a wɔbɛfa so abue sukuu ahodoɔ ne nnwumakuo ahodoɔ ano no nyinaa mu.
id_9a717cb2ap,Yɛwɔ adwene mu haw ahodoɔ pii ka ho a yɛbɛka ho asɛm akyire yi.
id_kkn6h1tdhs,COVID nnipa a wowuwui no mu dodow no ara yɛ nnipa a wɔwɔ mogyaborosoɔ.
id_7tsldqxu3f,Saa Kisikuro yi agye din yie pa ara.
id_xwpwgp23cp,"Nhwehwɛmu kyerɛ sɛ, afe 2019 mu no, na nnipa ɔpepem 301 na wɔwɔ adwene mu haw, na wɔn mu ɔpepem 58 yɛ mmɔfra ne mmabun."
id_3r6pxo5h54,Nsuomnam ne emu nsuo yɛ apɔmuden pa ara.
id_2wqobtix2a,Yɛbɛyɛ dɛn atumi de sereɛ aba yɛn asetena mu?
id_103e3ddq5u,Nsuyiri nsu a wɔtwa firi adan atifi no yɛ nsu fibea foforo.
id_yzaw2rmer4,"Sɛ wopɛ sɛ woyɛ adwuma wɔ Ghana a, ɛsɛ sɛ aban no gye wo tom."
id_kocnp7hcmm,"Owura kyeremeh, driver a ne kar asɛe no kyerɛ mu sɛ, wadi ne kar so nnansa ni. Da biara da, ɔtɔ biribi foforo de si kar no."
id_dvni7wz8ue,"Apɔm: mako, aprɛ, tomato, kɔbere, yogɔto, kɔfe, cocoa."
id_5681rgd5tz,Ɔwɛmfoɔ no maa nkurɔfo awerɛhyem sɛ wɔbɛsan de asono fitaa aba beae a wɔde wɔn sie no bio.
id_6q79ac9bai,Ɛyɛ kurow a wɔahyehyɛ no yiye wɔ ɔmantam no mu.
id_qr2i1shuqi,Asɔretiafo akannifo srɛɛ aban no sɛ onyi telefon sika tow mfi hɔ.
id_dikipj2t7z,"Ɔdan bi kae sɛ adwuma no yɛ kɛse de, nanso adwumayɛfo no nnya aduan pa nni."
id_cwsoeavusf,"Ghana nyaa faahodie 1957 mu no, Nkruma bɛyɛɛ Ɔmampanin a ɔdi kan wɔ Ghana abakɔsɛm mu."
id_nrzfewr9ck,"Mpanyimfo ne mmofra nyinaa tumi di agorɔ yi, na wɔtumi di no baabiara."
id_m3w3eebg36,Wɔmaa onipa a ɔyɛ adwuma yiye no trophy.
id_cut5ckt60s,Abusuabɔ no bɛboa ma wɔayi akwantu ho ka a club no tua no afi mu.
id_98jcr3jzpl,Hwɛ hu sɛ worenhyɛ ntade anaa pantɔte no mu rubber biara.
id_3lgvygclom,Yɛn mantam no ne nea wɔyɛ kɔfe pa ara wɔ Ghana.
id_xf7o3y64i1,Polisifo bɔndua yɛ nea wontua hwee wɔ Ghana.
id_47idsdom5g,Teɛteɛ w'apɔmuden mu
id_a8h5ehr14h,"Wɔkaa sɛ, sɛ wɔde Ghanafoɔ a wɔnim akenkan ne akyerɛw toto Afrika Sahara nsase ne aman afoforɔ ho a, wɔn dodoɔ sua, sɛdeɛ 2018-2019 Adesua nhyehyɛeɛ no akyi no wɔdaa no adi no."
id_xp22jsnfjp,"Asoɛeɛ a ɛhwɛ nwomasua so no akyɛre dodo sɛ wɔbɛsane de Advanced level aba no aba no aba, na wei de adwennwene abɛto asuafoɔ no so."
id_ww5my6h6k1,Ɛsɛ sɛ asuafo a wɔwɔ sukuu ahorow a wɔpɛ sɛ wɔyɛ wɔn sɔhwɛ no yɛ ɔman no sɔhwɛ ahorow.
id_s7d3ua1t75,Nhwehwɛmu a ɛfa deɛ ɛde egya no bae ho no da so ara rekɔ so.
id_iqt8udvsus,"Asase no boa ma wodua nnɔbae te sɛ aburo, ɛmo, guinea aburo, yam, mmire, aburo, soybean, groundnut, Bambara abon, cassava, watermelon, ne nea ɛkeka ho pii."
id_p5l92urhjv,Enable resisi nnɛyi adwumayɛbea ahorow a wɔde yɛ nneɛma pii wɔ Ghana
id_4m9zpghq2j,Ɔmantam mpanyimfo no bedi mmara ne nhyehyɛe ahorow akyi de adi ɔhaw no ho dwuma.
id_9xvu4loc8m,Aban ayaresabea ahorow hyia nsɛnnennen pii wɔ wɔn adwuma a wɔbɛyɛ no mu.
id_a27zbknqwd,Polisifo de aguanfo bɛboaboa wɔn ano denam aguanfo akannifo so.
id_pdiztkcyvj,"Amammerɛ nso kyerɛ sɛ, sɛdeɛ ɛbɛyɛ a wɔremfa wɔn ani nku wɔn akyi na wɔantumi annwane yie nti, wɔtwee wɔn nan sii fam de wɔn anim kyerɛɛ kuro no mu sɛdeɛ ɛbɛyɛ a wɔn nan ase bɛte sɛ deɛ ɛrekɔ kuro no mu."
id_ot7pdi4tyr,"Atiridii a wɔsi ano no betumi ayɛ nea ne bo yɛ den sen yareɛ no a wɔbɛsa yareɛ no ano wɔ berɛ tenten mu, nanso ɛho ka a wɔdi kan hwehwɛ no boro wiase no mu ahiafoɔ pii so."
id_urddje2ldx,Mediafoɔ no ntaa nka yareɛ no ho asɛm bio
id_gqzpl0cdi0,"Nnipa a wɔyare na wohia mframa a wɔde ayɛ wɔn ho, na wɔde wɔn ho to mfidie so ma wɔn mframa, anyinam ahoɔden nni hɔ a wɔn nkwa da asiane mu bere nyinaa."
id_csdygziwb3,Saa ahosiesie bɔne yi yɛ ade baako a ɛma nsɛmmɔnedi dɔɔso wɔ ɔman yi mu saa.
id_9tzf1fiwxj,Wɔagyae anadwo a wɔde nneɛma ma esiane kanea a enye nti.
id_ap0s03vhr3,Mmaayewa pii de wɔn ho ahyɛ tuutuusi mu nnansa yi.
id_e3ircrzylo,Nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu nna mu
id_o0qusdyw3r,Ɔka kyerɛɛ me deɛ ɔbarima no yɛɛ no nyinaa saa berɛ korɔ no ara mu.
id_9ya9dj3hec,Wɔyɛ yei sɛdeɛ wɔde bɛma ahonhom ne ahonhommɔne a wɔba wɔn mfuw so anadwo no nsuo anom.
id_o5tiol8nxj,Ɛsɛ sɛ wosi beae a wɔbɛyɛ nam no ho adwuma ansa na wɔatɔ.
id_d4uq5o7vbh,"Dinnade - plantain ne nahaban, grapefruit, atosodeɛ ahodoɔ, afifideɛ abusua ahodoɔ ne deɛ ɛkeka ho."
id_qnj0ymo9hw,Nam a yɛtɔ fi wɔn a wokum mmoa no ho yɛ den kodu he?
id_b9hg2qfwew,Ɛma w'adwene twe wo ho firi sɛ wobɛte nka sɛ woabrɛ ntɛm dodo.
id_zvrh8rzcsw,Ɛsɛ sɛ ayaresabea biara nya dɔkota anyɛ yiye koraa a ɔbɛhwɛ ayarefo no.
id_huavs9qoun,"Ɛno nti, sɛ obi yam yadeɛ ma ne ntini no mu ahoɔden so, na akoma no bɔ ntɛm dodo a, na mogya no tumi bɔ no yie, na ɛno na wɔfrɛ no mogyaborosoɔ."
id_hn2ts5gl3r,Ɔmantam no asi asawa so dua sen nnɔbae afoforo biara.
id_6qcaw7rt86,"Yei nti ɛnnɛ, yɛrebɛhwɛ nnuane du bi a ɔpemfoɔ bɛtumi adi ama ɔne ne ba a ɔhyɛ yafunu mu no nyinaa anya ahobammɔ."
id_z79hh1bsui,Nkurɔfo no tra ase wɔ akwahosan pa a wonni sika biara mu.
id_2bdnlwzyf9,Mmaa a wɔtaa de nnuro a wɔde bɔ wɔn ho ban no tumi nya ɔhaw wɔ wɔn dwonsɔ mu.
id_f13httv458,Wɔatew boayikuw bi a wɔde bedi ebola ho dwuma ho nhyehyɛe na wɔn mu binom yɛ animdefo.
id_eyy9bcfkh8,"Wɔn ani wu, wɔsuro berɛ biara a wɔbɛkae anaa wɔbɛfa baabi a wɔato wɔn mmonnaa no, wɔbɛtumi anya nyarewa a wonya firi nna mu nna mu, ɛbɛtumi asi ebinom kwan sɛ wɔbɛwo mma, wɔsuro sɛ wɔware mpo a wɔne nna mu nna biara nni, wɔsuro sɛ wɔbɛdi wɔn akyi berɛ a wɔn nko ara wɔ baabi a wɔnni bammɔ, wɔn bo afuw, wɔn ani afono na wɔnnim deɛ wɔnyɛ, wɔn mu binom tumi yera gyidie wɔ wɔn ho, ebinom bɛtumi anyinsɛn, ebinom nso bɛtumi agye wɔn kra afiri wɔn nsam."
